Carpenter,,,,,,
,,,,,,
Facility:,"Conover, NC",,,,Facility:,"Elkhart, Indiana"
Utility:,Piedmont Natural Gas ,,,,Utility:,NIPSCO (Northern Indiana Public Service Co.)
Rate:,103 Large General Service,,,,Rate:,338
Month,Dth,,,,Month,Dth
2001-08-01 00:00:00,580,,,,Aug,2680
2001-07-01 00:00:00,620,,,,July,2530
2001-06-01 00:00:00,800,,,,Jun,2715
2001-05-01 00:00:00,820,,,,May,3020
2001-04-01 00:00:00,1625,,,,Apr,3740
2001-03-01 00:00:00,4825,,,,Mar,5365
2001-02-01 00:00:00,4420,,,,Feb,5530
2001-01-01 00:00:00,5500,,,,Jan,5780
2000-12-01 00:00:00,5650,,,,Dec,5580
2000-11-01 00:00:00,3040,,,,Nov,3450
2000-10-01 00:00:00,540,,,,Oct,2650
2000-09-01 00:00:00,450,,,,Sep,2440
,,,,,,
,,,,,,
Facility:,"Russellville, KY",,,,,
Utility:,Western Kentucky Gas Co.,,,,,
Rate:,T-2,,,,,
Month,Mcf,,,,,
2001-08-01 00:00:00,6600,,,,,
2001-07-01 00:00:00,6450,,,,,
2001-06-01 00:00:00,8135,,,,,
2001-05-01 00:00:00,8325,,,,,
2001-04-01 00:00:00,8900,,,,,
2001-03-01 00:00:00,13090,,,,,
2001-02-01 00:00:00,12580,,,,,
2001-01-01 00:00:00,15370,,,,,
2000-12-01 00:00:00,16050,,,,,
2000-11-01 00:00:00,12100,,,,,
2000-10-01 00:00:00,10750,,,,,
2000-09-01 00:00:00,8570,,,,,
