Jim Butler,,,,,,,,,
Public Service Company of New Mexico,,,,,,,,,
" January 3, 2002",,,,,,,,,
,,,,,,,,,
Power Sale to Enron Power Marketing,,,,,,,,,
Prepayment Calculation,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Deal discription: For the dates 1/8/02 through 1/14/02 PNM sells to Enron 75MW on-peak @ $26.00 and 75MW off-peak @ 17.50,,,,,,,,,
,,,,,,,,,
,Date,On-Peak Hrs,,Off-Peak Hrs,,On-Peak $,,Off-Peak $,
,,,,,,,,,
,2002-01-08 00:00:00,16,,8,,31200,,10500,
,2002-01-09 00:00:00,16,,8,,31200,,10500,
,2002-01-10 00:00:00,16,,8,,31200,,10500,
,2002-01-11 00:00:00,16,,8,,31200,,10500,
,2002-01-12 00:00:00,16,,8,,31200,,10500,
,2002-01-13 00:00:00,0,,24,,0,,31500,
,2002-01-14 00:00:00,16,,8,,31200,,10500,
,,,,,,,,,
,,,,,Totals,187200,,94500,281700.0
,,,,,,,,,
"Amount of required prepayment $281,700.00",,,,,,,,,
