DEAL #,EOL #,COUNTERPARTY,DEAL DATE,FLOW START,FLOW END,PRICE,VOLUME,TRADER,DELIVERY POINT,DEAL TYPE,CATEGORY,BUY/SALE,PHYSICAL/FINANCIAL,FIRMNESS
427635.1,,Nevada Power Company,2000-10-04 00:00:00,2001-01-01 00:00:00,2001-12-31 00:00:00,82,418800,Matt  Motley,Mead-230KV,FORWARD,CMDTY,S,P,Firm
427636.1,,Nevada Power Company,2000-10-04 00:00:00,2001-01-01 00:00:00,2001-12-31 00:00:00,69,438000,Matt  Motley,PALO VERDE,FORWARD,CMDTY,B,P,Firm
427886.1,,Nevada Power Company,2000-10-04 00:00:00,2001-01-01 00:00:00,2001-12-31 00:00:00,70.5,876000,Matt  Motley,PALO VERDE,FORWARD,CMDTY,B,P,Firm
427887.1,,Nevada Power Company,2000-10-04 00:00:00,2001-01-01 00:00:00,2001-12-31 00:00:00,82,837600,Matt  Motley,Mead-230KV,FORWARD,CMDTY,S,P,Firm
430865.1,,Nevada Power Company,2000-10-09 00:00:00,2001-01-01 00:00:00,2001-12-31 00:00:00,44,96200,Mike  Swerzbin,PALO VERDE,FORWARD,CMDTY,S,P,Firm
469369.1,,Nevada Power Company,2000-11-29 00:00:00,2001-10-01 00:00:00,2001-12-31 00:00:00,92,61600,Mike  Swerzbin,PALO VERDE,FORWARD,CMDTY,S,P,Firm
474431.1,,Nevada Power Company,2000-12-05 00:00:00,2001-01-01 00:00:00,2001-12-31 00:00:00,250,245600,Matt  Motley,PALO VERDE,FORWARD,CMDTY,S,P,Firm
480727.1,,Nevada Power Company,2000-12-15 00:00:00,2002-04-01 00:00:00,2002-06-30 00:00:00,85,30800,Bob  Badeer,PALO VERDE,FORWARD,CMDTY,S,P,Firm
483735.1,,Nevada Power Company,2000-12-20 00:00:00,2001-01-01 00:00:00,2001-12-31 00:00:00,105,96200,Matt  Motley,PALO VERDE,FORWARD,CMDTY,S,P,Firm
489916.1,,Nevada Power Company,2001-01-04 00:00:00,2002-04-01 00:00:00,2002-06-30 00:00:00,87,61600,Matt  Motley,PALO VERDE,FORWARD,CMDTY,S,P,Firm
492900.1,,Nevada Power Company,2001-01-09 00:00:00,2002-07-01 00:00:00,2002-09-30 00:00:00,170,30800,Matt  Motley,PALO VERDE,FORWARD,CMDTY,S,P,Firm
494010.1,,Nevada Power Company,2001-01-10 00:00:00,2002-04-01 00:00:00,2002-06-30 00:00:00,89,61600,Matt  Motley,PALO VERDE,FORWARD,CMDTY,S,P,Firm
498114.1,,Nevada Power Company,2001-01-16 00:00:00,2002-07-01 00:00:00,2002-09-30 00:00:00,165,61600,Matt  Motley,PALO VERDE,FORWARD,CMDTY,S,P,Firm
503214.1,,Nevada Power Company,2001-01-23 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,70,96200,Matt  Motley,PALO VERDE,FORWARD,CMDTY,S,P,Firm
515363.1,,Nevada Power Company,2001-02-06 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,147,122800,Matt  Motley,PALO VERDE,FORWARD,CMDTY,S,P,Firm
517883.1,,Nevada Power Company,2001-02-08 00:00:00,2002-07-01 00:00:00,2002-09-30 00:00:00,210,30800,Mike  Swerzbin,PALO VERDE,FORWARD,CMDTY,S,P,Firm
523027.1,,Nevada Power Company,2001-02-14 00:00:00,2002-07-01 00:00:00,2002-09-30 00:00:00,230,61600,Mike  Swerzbin,PALO VERDE,FORWARD,CMDTY,S,P,Firm
528030.1,,Nevada Power Company,2001-02-21 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,150,245600,Matt  Motley,Mead-230KV,FORWARD,CMDTY,S,P,Firm
528031.1,,Nevada Power Company,2001-02-21 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,130,245600,Matt  Motley,PALO VERDE,FORWARD,CMDTY,B,P,Firm
532755.1,,Nevada Power Company,2001-02-27 00:00:00,2002-07-01 00:00:00,2002-09-30 00:00:00,190,30800,Matt  Motley,PALO VERDE,FORWARD,CMDTY,S,P,Firm
548871.1,,Nevada Power Company,2001-03-13 00:00:00,2002-07-01 00:00:00,2002-09-30 00:00:00,230,61600,Matt  Motley,PALO VERDE,FORWARD,CMDTY,S,P,Firm
550383.1,,Nevada Power Company,2001-03-14 00:00:00,2003-01-01 00:00:00,2003-12-31 00:00:00,90.75,245600,Matt  Motley,Mead-230KV,FORWARD,CMDTY,S,P,Firm
550385.1,,Nevada Power Company,2001-03-14 00:00:00,2003-01-01 00:00:00,2003-12-31 00:00:00,73,245600,Matt  Motley,PALO VERDE,FORWARD,CMDTY,B,P,Firm
555406.1,,Nevada Power Company,2001-03-20 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,145.5,245600,Mike  Swerzbin,PALO VERDE,FORWARD,CMDTY,S,P,Firm
559065.1,,Nevada Power Company,2001-03-23 00:00:00,2002-01-01 00:00:00,2003-12-31 00:00:00,88.5,876000,Mike  Swerzbin,PALO VERDE,FORWARD,CMDTY,S,P,Firm
579011.1,,Nevada Power Company,2001-04-11 00:00:00,2002-07-01 00:00:00,2002-09-30 00:00:00,290,61600,Matt  Motley,PALO VERDE,FORWARD,CMDTY,S,P,Firm
579015.1,,Nevada Power Company,2001-04-11 00:00:00,2004-01-01 00:00:00,2004-12-31 00:00:00,72,123200,Matt  Motley,Mead-230KV,FORWARD,CMDTY,S,P,Firm
