To: El Paso Marketing   -  fax # 915-521-4751,,,,,,,,,
 El Paso Generation   -  fax # 915-521-4711,,,,,,,,,
2001-04-09 00:00:00,,,,,,,,,
HR ENDING,HR ENDING,Palo Verde,Palo Verde,Palo Verde,Palo Verde,Palo Verde,Palo Verde,EDDY,
Pacific,Mountain,SALE,SALE,SALE,SALE,SALE,SALE,BUY,
Daylight,Standard, TO PSCO, TO PSCO, TO PSCO, TO PSCO, TO PSCO, TO PSCO,From ENRON,
Time,Time,,,,,,,,
,,FOR THE DAY,FOR THE DAY,FOR THE DAY,FOR THE DAY,FOR THE DAY,FOR THE DAY,FOR THE YEAR!,
,,,,,,,,,
,,4/1/01-4/30/01,4/1/01-4/30/01,4/1/01-4/30/01,4/1/01-4/30/01,4/1/01-4/30/01,4/1/01-4/30/01,3/1/01-3/31/01,
,,PNM TAG 11206,20555,SDGE TAG 2474,20544,WESCO TAG 26860,DYPMI TAG STCK016,SPS TAG #,TOTAL
PDT,MST,DIRECT BILL,DIRECT BILL,DIRECT BILL,DIRECT BILL,DIRECT BILL,DIRECT BILL,DIRECT BILL,
0100,0100,3,25,25,22,3,25,-103,0
0200,0200,3,25,25,22,3,25,-103,0
0300,0300,3,25,25,22,3,25,-103,0
0400,0400,3,25,25,22,3,25,-103,0
0500,0500,3,25,25,22,3,25,-103,0
0600,0600,3,25,25,22,3,25,-103,0
0700,0700,0,0,0,0,0,0,-103,-103
0800,0800,0,0,0,0,0,0,-103,-103
0900,0900,0,0,0,0,0,0,-103,-103
1000,1000,0,0,0,0,0,0,-103,-103
1100,1100,0,0,0,0,0,0,-103,-103
1200,1200,0,0,0,0,0,0,-103,-103
1300,1300,0,0,0,0,0,0,-103,-103
1400,1400,0,0,0,0,0,0,-103,-103
1500,1500,0,0,0,0,0,0,-103,-103
1600,1600,0,0,0,0,0,0,-103,-103
1700,1700,0,0,0,0,0,0,-103,-103
1800,1800,0,0,0,0,0,0,-103,-103
1900,1900,0,0,0,0,0,0,-103,-103
2000,2000,0,0,0,0,0,0,-103,-103
2100,2100,0,0,0,0,0,0,-103,-103
2200,2200,0,0,0,0,0,0,-103,-103
2300,2300,3,25,25,22,3,25,-103,0
2400,2400,3,25,25,22,3,25,-103,0
,,,,,,,,,
,,,,,,,,,
,MST Total,24,200,200,176,24,200,-2472,-1648
,,,,,,,,,
,PDT TOTAL,24,200,200,176,24,200,-2472,-1648
,,,,,,,,,
,,,,,,,,,
,,EPE(G)PV,EPE(G)PV,EPE(G)PV,EPE(G)PV,EPE(G)PV,EPE(G)PV,SPS (G) @ EDDY TIE,
,,EPMI,EPMI,EPMI,EPMI,EPMI,EPMI,EPMI,
,,PSCO,PSCO,PSCO,PSCO,PSCO,PSCO,EPE (L) @ EDDY TIE,
,,EPMI,EPMI,EPMI,EPMI,EPMI,DYPMI,,
,,PNM,PAC,PAC,SRP,WESCO,ECH1,,
,,PNM(T)PV/WW#GF,APS(T)PV/WW/4C#20917,SDGE,SRP(T)PV/KYRENE#GF,CISO(T)PVD/SP15,CISO(T)PVD/SP15,,
,,SRP(T)WW/MEAD230,PAC(T)4C/PACSYS#100108,CISO(T)PVNG/SDGE,SRP(L-KYRENE),WESCO (L-SP15),ECH1 (L-SP15),,
,,PNM,PAC (L-SYS),SDGE(L-NG),,,,,
,,NEVP(L-MEAD),,,,,,,
