,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,PROJECT TENACITY,,,,,,,,
, ,,,2001-10-01 00:00:00,2001-10-01 00:00:00,2001-10-01 00:00:00,,,,,,,
, ,,,,,,,,,,,,
, ,,,,,Estimated,,,,,,,
,,,,Earnings,Probability,Close,Co Mgr,VP,Director,Mgr,Analyst,Engr,Geo
,"""A"" List",,,,,,,,,,,,
,Andex,VPP Add on,5,0.4,High,Oct 31,CJT,,PB,BO,RS,CF,KD
,CGAS,Sale/VPP,52.5, ,Med,Nov 30,CJT,JM, , ,RM, ,
,EEX,VPP,160,6.5,Med,November,SJ,,PB,KY,RS,CF/BP,KD
,NuTech Energy,Sale of Tech Services,22.5,10,Med,4Q,CJT,,TK,BO,,,KD
,     TOTAL,,240,16.9,,,,,,,,,
,,,, ,,,,,,,,,
,"""B"" List",, ,,,,,,,,,,
,Cuba Project,VPP,300,20,Low,4Q, ,AK,ME/PB,BO,AR,CF/TM,
,     TOTAL,,300,20,,,,,,,,,
,,, ,,,,,,,,,,
,"""C"" List",,,,,,,,,,,,
,,,,,,,,,,,,,
,Aurora,Equity/Mezz,20,,Med,4Q,CJT,,PB,KY, ,CF,CC
,ECA,VPP/Equity,15,3.5,Low,4Q, , ,TJK,KY, , ,
,NuTech Energy,Salvage JV,,,Low,4Q,CJT,,TK,KY,,, 
,Venus Exploration,VPP,5,0.5,Low,4Q,SJ,,ME,KY,RM,BP,
,     TOTAL,,40,4,,,,,,,,,
,,, ,,,,,,,,,,
