ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Birger,Frederiksen,DEN,0,00:11:59,00:03:57,00:34:13,00:02:42,00:18:38,1,01:11:31
Paul,Gittings,GBR,0,00:12:11,00:03:57,00:35:16,00:02:46,00:18:40,2,01:12:53
Mark,Preston,AUS,0,00:12:03,00:03:38,00:34:39,00:02:38,00:20:00,3,01:12:59
Gerhard,Schlüter,GER,0,00:12:20,00:03:43,00:35:55,00:02:29,00:18:34,4,01:13:05
Karl-Heinz,Oberhuber,GER,0,00:13:27,00:03:45,00:35:04,00:02:29,00:18:40,5,01:13:27
Gordon,Macpherson,GBR,0,00:11:22,00:03:39,00:37:17,00:02:35,00:19:00,6,01:13:57
Georges,Bürgi,SUI,0,00:12:14,00:03:46,00:36:16,00:02:24,00:19:19,7,01:14:02
Ulrich,Nikulla,GER,0,00:13:08,00:03:54,00:35:44,00:02:30,00:18:46,8,01:14:04
Gerd,Scheibe,GER,0,00:11:43,00:04:24,00:35:17,00:02:50,00:20:41,9,01:14:58
Iskandar,Shakhov,RUS,0,00:12:01,00:03:47,00:38:10,00:02:24,00:19:05,10,01:15:31
Peter,Zoller,GER,0,00:11:05,00:03:42,00:38:03,00:02:39,00:20:08,11,01:15:38
Jurgen,Laub,GER,0,00:14:04,00:04:27,00:36:36,00:02:53,00:20:23,12,01:18:25
Richard,Dunbabin,GBR,0,00:13:01,00:04:18,00:38:18,00:02:37,00:20:10,13,01:18:26
Jorg,Dietrich,GER,0,00:13:21,00:04:31,00:40:20,00:02:38,00:18:06,14,01:18:57
Alastair,Stewart,GBR,0,00:18:50,00:04:10,00:34:54,00:02:44,00:18:34,15,01:19:16
Neil,Mccover,GBR,0,00:15:00,00:04:16,00:38:06,00:02:42,00:19:40,16,01:19:46
Pete,Nash,GBR,0,00:14:01,00:05:09,00:38:02,00:03:15,00:19:56,17,01:20:26
Nick,Smith,GBR,0,00:12:49,00:04:59,00:37:28,00:03:01,00:22:23,18,01:20:42
Dieter,Pohler,GER,0,00:15:33,00:05:00,00:35:47,00:03:02,00:21:32,19,01:20:56
Klaus,Kretschmer,GER,0,00:11:54,00:04:26,00:39:13,00:03:10,00:22:18,20,01:21:04
Wolfgang,Klein,GER,0,00:15:49,00:05:34,00:37:28,00:02:57,00:19:31,21,01:21:21
Frank,Whitelock,GBR,0,00:12:56,00:04:36,00:38:25,00:03:13,00:22:14,22,01:21:25
Haydn,Whitmore,GBR,0,00:13:54,00:04:35,00:38:16,00:02:50,00:21:51,23,01:21:27
Michael,Lisle,GBR,0,00:12:24,00:04:38,00:39:17,00:02:54,00:22:13,24,01:21:30
Ulrich,Winkelmn,GER,0,00:15:26,00:04:38,00:39:02,00:02:53,00:20:27,25,01:22:26
James,Wilson,CAN,0,00:14:45,00:04:49,00:38:32,00:03:05,00:21:15,26,01:22:28
Stephen,Elliot,GBR,0,00:16:14,00:04:21,00:38:35,00:02:42,00:20:36,27,01:22:30
Colin,Simpson,GBR,0,00:13:06,00:04:29,00:41:27,00:02:49,00:21:04,28,01:22:57
David,Leak,GBR,0,00:13:39,00:04:32,00:38:15,00:02:59,00:23:51,29,01:23:17
Rudiger,Heinrich,GER,0,00:12:00,00:05:09,00:38:04,00:03:28,00:24:47,30,01:23:30
Rob,Robson,GBR,0,00:14:08,00:05:12,00:38:15,00:03:25,00:22:57,31,01:23:59
Steve,Robinson,GBR,0,00:14:43,00:05:04,00:37:20,00:03:33,00:23:51,32,01:24:35
Holger,Abmann,GER,0,00:16:05,00:05:10,00:38:12,00:03:06,00:22:01,33,01:24:36
Dirk,Lohmeier,GER,0,00:11:52,00:04:52,00:42:25,00:03:22,00:22:59,34,01:25:32
Heinz,Hahnel,GER,0,00:15:49,00:05:12,00:39:22,00:03:26,00:22:11,35,01:26:04
Andreas,Klimkeit,GER,0,00:14:21,00:05:13,00:41:28,00:03:27,00:22:21,36,01:26:52
Brian,Welsh,GBR,0,00:15:42,00:05:48,00:39:50,00:03:35,00:22:12,37,01:27:09
Gotz,Reppel,GER,0,00:13:03,00:05:39,00:40:59,00:03:38,00:24:04,38,01:27:26
Klaus,Jager,GER,0,00:20:07,00:04:17,00:40:26,00:03:31,00:19:19,39,01:27:42
Stephen,Robinson,GBR,0,00:15:39,00:05:12,00:41:00,00:03:13,00:22:55,40,01:28:01
Kai,Hansen,DEN,0,00:16:14,00:04:53,00:41:02,00:03:13,00:23:21,41,01:28:45
Kurt,Seyffert,GER,0,00:16:47,00:05:03,00:40:14,00:03:02,00:23:38,42,01:28:47
Michael,Pascher,GER,0,00:14:28,00:04:57,00:43:14,00:03:19,00:23:07,43,01:29:06
Kurt,Hauser,SUI,0,00:18:05,00:04:24,00:41:07,00:02:44,00:22:47,44,01:29:10
Uwe,Armbruster,GER,0,00:16:05,00:05:27,00:40:33,00:03:07,00:24:28,45,01:29:42
John,Setford,GBR,0,00:14:29,00:05:04,00:42:05,00:03:36,00:24:48,46,01:30:04
Bernd,Willeke,GER,0,00:17:33,00:05:44,00:41:16,00:03:45,00:24:14,47,01:32:35
Erhard,Schulz,GER,0,00:19:34,00:04:54,00:42:08,00:03:12,00:25:17,48,01:35:06
Fred,Schaffers,NED,0,00:19:19,00:06:41,00:41:22,00:03:48,00:24:39,49,01:35:52
Bernd,Bohnke,GER,0,00:17:12,00:05:13,00:43:25,00:03:43,00:28:18,50,01:37:56
Roland,Konig,GER,0,00:20:45,00:05:39,00:45:10,00:03:46,00:24:35,51,01:39:58
Dennis,Hern,CAN,0,00:21:22,00:05:11,00:44:29,00:03:18,00:25:52,52,01:40:14
Walter,Schuster,GER,0,00:19:27,00:05:41,00:48:56,00:03:14,00:25:09,53,01:42:30
Winston,Crooke,SKN,0,00:22:07,00:06:48,00:41:46,00:04:07,00:28:10,54,01:43:00
